,#,LB,Post,PhI/A,Ph/B,Ph/C,Ph/D,Ph/E,PhII/A,PhII/B,PhII/C,PhIII/A,PhIII/B,PhIII/C,PhIII/D,PhIII/E,PhIV/A,PhIV/B,PhIV/C,PhIV/D,PhIV/E,PhV/A,PhV/B,PhV/C
1,Post 1,B,"Good morning all! I really enjoyed the videos as a different approach to learning this week. I was struck most by how ""typically American"" the instructor in the Iron and Silk clips seemed in going into a Chinese classroom with so little preparation for the culture in which he was engaging. Do you think our culture is more prone to this type of behavior or is it a human condition? Either way, how do we as educators avoid the faux pas this teacher made? How have you personally been more culturally sensitive in interactions with people from different walks of life?",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Post1_R1,D,"I was really surprised by the teachers lack of preparation as well. Especially since he was going to a foreign country to teach, it wasn't as if he was teaching in America and didn't realize that he had some Chinese students. It was good that he did ultimately learn more about their culture while he was there and he was fortunate that he didn't seem to do anything truly offensive to the students while he was there. To avoid many of the faux pas that he made he could have learned more about Chinese customs before teaching. The woman that was helping him learn more about their customs seemed to be a valuable resource that he should have worked with sooner. At the same time, we know that not all people from a certain culture are the same and we can't place stereotypes on groups so how do we walk that line of considering culture and not stereotyping groups as we teach?",3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Post1_R1_1,F,"I too really enjoyed the videos. It really surprised me how unprepared the teacher was for his students. I would think the teacher would study up on the cultures of the place he was going to be teaching to become more familiar with it and to help make connections. Adults learn by drawing from previous experiences and from making connections, so if a person is unable to do this it makes it difficult to learn. Here in the Southwest we use terms here that people in other parts of the United States are not familiar with, which makes it difficult to understand the context as well as make connections, which in turn affects ones ability to learn. When I am teaching and I have foreign exchange students I like to include them in on the discussions and learn about their cultures. I had a student from Italy, who was completed shocked at the level of disrespect she was witnessing from her American classmates in her classes and shared with her classmates that  in her country behavior like that isn't tolerated at all. When she started sharing this it got the other students in the classroom discussing, asking questions, and learning about each other. It was a great conversation and learning moment for everyone.",4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Post1_R2,E,"Hi Michelle and Stephanie,

The videos are striking examples to think about how culture and language influence communication, teaching, and learning, and how differently cultures prepare their adherents to value respect, humility, openness, humor, hospitality etc. The teacher reminded me more of a picaresque figure who has been inserted in the narrative to teach us about Chinese culture rather than the exaggerated  blundering of a figure of the typical American that other cultures have come to expect and ridicule. I wonder whether this could be used as a teaching device in and of itself but with a figure who is unlinked from any given culture, just one that represents behaviors, actions, thoughts we are trying to find real world alternatives for. Our sensibility is jogged when we see these examples which leads us to want to rectify or do better.

Thinking about languages that are high and low context makes me think of the examples that have been presented regarding the benefits of supporting translanguaging to create richer and more layered exchanges. And always openness for what other cultures may bring to the mix; one of my jobs as a student when I moved to Cologne was interpreting for Ghanese asylum seekers, usually these were first interviews and unless people had the good fortune and money of getting Amnesty International aid or such, they were not given much room to present their cases. I remember one case in which a man was desperate to live in Germany with his family because he was being persecuted. Part of this persecution involved Voodoo. As I interpreted for this man, I tried to create a context in order to validate this man and his family's belief system. I was accosted by the judge to stop how I was translating and stick to a verbatim account of what was being said. This incident together with the many other sad cases I dealt with over the two years I did this job led me to quit.  Many years later when I was teaching English in a European secretary prep school, among my students was a young woman who was Turkish. Her brother brought her to school every day, she would disappear in the bathroom and come out dressed in Western clothing, and before school let out, she would go and reverse the process. I found myself changing my teaching style significantly for fear of being disrespectful of this young woman's frame of propriety, and when it came time to engage in some extracurricular activities such as going to an English movie, Pulp Fiction clearly was not going to be appropriate for her, but I already knew this would not be possible because it was a night time activity anyway. To what extent was I actually acting out a microinvalidation? Would communicating about her preferences and her frame of reference been appropriate instead of making assumptions? Having been discriminated against most of my teenage years in Germany because my appearance led people to believe I was Turkish, I thought I was showing respect by not talking down to this young woman, but perhaps I was making decisions for her she wanted to make for herself since she had agency while she was at school.

It seems in the eLearning environment, it may actually be easier to circumnavigate some of these sorts of cultural straits because of the flexibility of using a variety of activities and access points for learning. Discussion guidelines can be adjusted to show deference for different cultures. Similar to the way new items are now prefaced as having content that may disturb x,y,z perhaps this can be included in information about content to be discussed.

Culture can also refer to the hierarchical culture within organizations. I used to teach English to the staff of an engineering company and it was fascinating how leadership and regular staff members interacted, because I had them dialog and do activities. In particular going from German with it's formal and informal ""you"" to the much more relaxed English you, led to visible discomfort in some situations. Interestingly, nowadays in Germany it seems as if there is a clear move toward supporting informal communication over more formal communication and in job advertising a special point is made about describing your company as having ""flat hierarchical structures"" and a ""Duz-Kultur"" or ""informal you culture"" being promoted.

Sorry this is so long, but this is a topic I have had so much experience with - also when traveling in Europe - how one is perceived, how things shift depending on whether one is considered part of the culture or not - what a good or bad accent in certain countries can lead to - gender, marital status (I highly recommend visiting Rome alone as a woman only if you are visibly pregnant; you'll be treated like a madonna), etc. etc. ",10,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Post1_R3,H,"Hi Michelle-
I agree that the teacher was not prepared sufficiently for the task ahead, but I'm not sure it was entirely his fault. For example; he was obviously teaching at a school of some kind, perhaps the administration should have provided him with a ""cultural handbook"" that he can read in advance since they knew he was coming from out of town. To answer your first question, I think everyone gets used to the culture they live in and don't really learn how other cultures operate until they either visit or move to that country. Sometimes when I'm interacting with someone from a different culture, I ask what kind of food they like and then try it with them. Food is the great unifier, and can be very helpful in bringing cultures together. What is your favorite food from a different culture?
Wyatt",2,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Post1_R3_1,G,"I think this is a very interesting comment, Wyatt.  I was thinking much the same thing.  It struck me that there was a major flaw in the design of this course, because it seemed to assume knowledge on the part of the instructor, the students or both that clearly did not exist. 
It struck me that many people probably do not pay close enough attention to introductions at the beginning of a class.  This may be particularly true of instructors and I think that I myself have been guilty of this.  It can be nerve racking to be ""up there in the spotlight"", but there are important clues that are given by those introductions that can really help an instructor do a better job. As a designer, I think it is important to build into the course structure meaningful opportunities to allow for that to happen. Thanks for the insight.",0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
7,Post1_R3_1_1,B,"Peter and Wyatt, I think you make great points about human nature and it reminds me of a trip I took to Germany several years ago with a group of friends. I am the kind of traveler who tries to blend in to any country I visit so I tend to go overboard in preparation so I fit in with the locals (as much as possible). One of my best friends is the exact opposite: she is unabashedly American and just shows up. As a result we each had very different experiences while in Germany, both fulfilling and memorable. I saw the cities we visited from an every-day German perspective, and she interacted with people who sought her out for conversation because she was American. I think as long as that attitude doesn't mean you're causing gross cultural offense, it can certainly provide a rewarding interaction between a teacher and student of different cultures.",0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1
8,Post1_R3_1_1_1,I,"Hello - Michelle M., Wyatt, Pete, and Eva.  I can see both sides.  I do think the teacher was ill-prepared, but he still tried to be respectful.  I have tried to do Michelle M.'s approach as well when I travel.  However, there is only so much that books can teach you, and YouTube travel vlogs only show the view point of the creator.  As such, I have gotten things wrong before.  Like Teacher Mark in the film, it was not the end of the world, but it did show my ignorance.  For example, my husband is in law enforcement, and when he has to arrest a person who can only speak Spanish, he tries to use the formal version of ""you"" so that the people he has in custody does not think he is being disrepectful/demeaning towards them.  I tried this with my broken Spanish when we went to CDMX in January.  I then wondered why I got crazy looks from people younger than me when I addressed them in this manner.  I was trying to be respectful to everyone I would meet, but when I returned, a friend from CDMX told me never to use the formal ""you"" to people unquestionably younger than me; it just simply was not done.  So, I can see what Eva has gone through regarding context and when to use the formal vs. informal.

I guess it is kind of like that animated film where the teacher from Massachusetts misinterpreted the methods Navajo children used to learn as disobedience.  Small faux pas such as this aside, I still do not think it hurts to prepare, especially if an institution is bringing you in to teach.  I agree with Wyatt and Pete.  A short orientation or handbook would have helped both instructors in these films avoid these misunderstandings.",4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,1
9,Post1_R3_1_2,F,"Peter,
You make an interesting point about many times not paying close enough attention to the introductions at the beginning of a class. I can say that as a teacher I am guilty of this. With having 160+ students it is easy to miss stuff, so I definitely need to make sure that I am paying better attention and in fact looking for those important clues that are given by my students introductions. Thank you for pointing this out. ",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Post1_R3_1_2_1,G,"LOL! It can be a challenge.  I almost bought a t-shirt once that said, ""Hi! I can't remember your name either.""  I think I tend to focus more on people's stories than their names, etc.  I am interested in who they are, not how they are identified.  But, it comes across as rude and I have really been trying to work on it.  If you have any tricks, let me know.
I tried nicknames based on part of their story, but them I could only remember the nickname.  Not what I was aiming for at all.",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
