user,post,apI,apII,apIII,apIV,apV,cpI,cpII,cpIII,cpIV,cpV,cpSP,postnum,seq
U1,"So, I know we were supposed to wait for U13 to post but, I was getting too nervous waiting on her first post and I couldn't wait any longer... I will bite the bullet on this one...
So, for this discussion we were asked to define culture and eLearning. To me, culture is the way in which people live life based off of their upbringing, attitudes, values, beliefs, morals and traditions. Culture is something that we are born into and then throughout our life it is something that we shape into ourselves and modify to our likings. This is somewhat similar to the definition we were given in The Meaning of Culture in Online Education: Implications for Teaching, Learning and Designs “that complex whole which includes knowledge, belief, art, morals, law, custom, and any other capabilities and habits acquired by man as a member of society” (Tyler, 1871, p.1). It may be a very old definition of culture, but it one that most people (me included) can relate to and understand. To me eLearning is when a student learns in the online environment. This is usually done through various ways, such as from a computer, a phone, tablet etc. But nevertheless, they all require one thing, internet access! Now the hard question is stating how culture and eLearning are related. I could go on and say how they’re related with my opinion, but I think I’ll just stick to the readings. According to Goodfellow and Hewling, Culture and eLearning are related in many ways or culture has a way of shaping itself within the eLearning environment. For example, there was a study done that looked at three different nationalities (Korean, Finnish and American) and it looked at their cultural differences and the characterizations amongst these groups within an online learning environment. It was found that American students were more individualist when it came to being in an online course. They showed more interest in themselves and their needs. It was also found that Americans were more action-oriented when it came to finding results. Whereas students from Japan, China or Arab countries were considered collectivistic because they would put the interests of their families and community before theirs. Finns were found to be “more group focused and reflective” (Goodfellow and Hewling, p.357). While, Koreans were found to be more social when it came to online learning. So, you see our upbringings, traditions, beliefs and ways of living not only play a part in our daily lives when it comes to our wellbeing and ways of life. But they also come out when we are learning. Whether we are learning in a classroom or in an online environment our culture plays a huge role. So, this pretty much explains why some people “don’t play well with others”, because they probably didn’t get much interaction with people at home or in their community. This also explains why some people are great with working with groups or even with a certain age range of people (they are around them more, they are taught to respect those kinds of people and they were taught how to work well with others and they probably have good experiences with doing so). I think the best example I have to share with you all about culture having/playing a role in the online/face-to-face learning environment would be last semester I worked with a small group of people and one of my group members was very religious. Because she was respective of her religion she was unable to do certain things on certain days throughout the week or touch technology etc. on certain days. For example, she was a full-time student and part time worker, but she was not allowed to touch, talk, work or do anything related to school or work on Sundays. She was to go to church from 6am to noon and then back home to prey, clean and get ready for the week. So, for our class projects we had to try and get everything done early in the week. Including talking to her because she was not able to use her phone or computer on that day either. Neat huh?",11,0,0,0,0,21,9,4,0,2,77,0,0
U2,"My definition of culture is the values, norms, beliefs (religious), and familial interactions and behavioral edicts that shaped me into the person I am today. In reflecting on my upbringing, my father was a strong disciplinarian and kept my sister and I in line so to speak. There were acceptable behaviors and non-acceptable behaviors and consequences and rewards for both. There were also strong familial interactions with my aunts and uncles whom I spent a lot of time with growing up. The time spent with them reinforced the way I was being taught at home. Since I was the youngest in my family, there was a lot expected of me as opposed to my sister. As I look back now, i'm guessing the reason for this was maybe my parents felt they could have made different decisions where my sister was concerned and therefore didn't want to make those same decisions with me.
As far as elearning goes, there is the obvious definition of distance learning/education via a computer with an internet connection but I believe it goes further than that in that there needs to be an attempt to engage the learner through activities, discussions, interactions etc. Until now, I had not thought of culture as having an affect on distance eduction and eLearning. Most of the distance education courses I have taken focus on the standard norms such as discussions based off of rubrics and my weekly participation. Both were things that were very important parts of my grade. I don't feel that I really was being held to any specific learning other than meeting the basic requirements of the rubric. I ask myself now, how much learning really occurred? I can understand better after completing the readings how culture can influence learning and probably affected how I learned in previous courses. American culture in general seems to focus on the immediate here and now learning and getting things done quickly, working towards the rubric or assignment requirements and doing exactly what needs to be done to complete the course and hopefully get an A. I've taken courses online that at times have made me feel that I'm merely going through the motions to meet course requirements rather than gaining any additional knowledge. 
I agree with U21 that Americans are definitely more individualistic. I think this applies in school but also in work environments. In my experience, culture in learning in school or work favors individuals as opposed to groups. Collaboration is attempted but never really accomplished. After completing our readings, I am starting to have a better understanding about the reasons for individualistic focuses on distance ed and am eager to learn more about how to overcome this and move towards more collaborative learning and teaching methods going forward.
U4 ",6,0,0,0,0,19,3,6,1,4,60,1,0.01369863
U3 ,"Hi U4,
I want to quote your reflection on the American culture that you inherited and how you bring that to your online learning.You mentioned that "" American culture in general seems to focus on the immediate here and now learning and getting things done quickly, working towards the rubric or assignment requirements and doing exactly what needs to be done to complete the course and hopefully get an A. I've taken courses online that at times have made me feel that I'm merely going through the motions to meet course requirements rather than gaining any additional knowledge."" I really like how you actually reflected your e-Learning experience from your own culture. Being a foreign national myself (Chinese) and having been in the U.S. for 12 years, I hardly heard any Americans reflect on their own cultures and how that could influence their learnings and their relationships with others. I think for one, we are in the U.S., so as an American people don't generally think about how their own culture can affect other cultures. I suppose if an American goes to Europe or Asia, or any other countries, they may start comparing their own culture with others' culture and gain lots of insights on the relationships between culture and all other aspects of life. 
I want to reflect on how my own culture has affected my learning in general. I grew up in China until I was 16, and in Chinese culture we do focus a lot on taking the time to reach your own goals. Now, China nowadays has become more and more like the Western cultures, where people pursue immediate results and accomplishments without putting a lot of time and energy into their work. However, when I grew up in China in the 90s and 2000s, my education and the teaching I received from my parents were to really focus on building solid foundations for whatever I did. After I came to the U.S. and started college, one thing that I noticed I had that was very different from domestic students was that I put a lot of time reading textbooks. It was almost like an OCD that I had to read my textbooks or do all of the assigned readings before I make an argument or write a paper. I hardly saw that in American students, and I believe that the ""freedom of speech and doing everything"" aspect in American culture really encouraged domestic students to quickly voice their judgments and opinions without having a lot of background information. There is truly no right or wrong. I see advantages and disadvantages in both choices. 
Thank you for bringing up a good point that in turn made me reflect on how my culture affected my learning.
U3 ",3,1,2,0,0,14,3,8,1,0,62,2,0.02739726
U4,"Hi U3,
Thank you for sharing some of your culture and background with me. Chinese culture has always intrigued me and I'm a bit disappointed to find out the culture has leaned more towards our Western culture. I hate to admit that in some cases I've experienced and relied upon my American culture to help me complete a course. I am always hopeful that American culture will keep evolving. I feel over the last twenty years or so, there has been an emphasis on learning quickly, getting the degree and getting a good job. Thus the many instances of completely online universities offering more on line college courses or the ability to complete a degree in 2 years rather than 4 years etc. My feeling is this societal expectation that we move quickly through school, lives, work etc. has contributed to less learning taking place. I may be wrong and freely admit this is my personal opinion based on observations, but I'm wondering when and where we started moving away from valuing the effort and commitment it takes to even attend college, obtain a degree, thoughtfully find a job that fits in with the type of degree obtained and work towards an end goal. Anyway, thank you for expressing your observations and feelings about my post and American culture. I appreciate it.
U4",2,2,0,0,0,8,3,3,1,0,37,3,0.04109589
U5,"Hi U4 and U3, 
I wanted to jump in because I find this perspective on culture fascinating. Americans can indeed be culture centric. Many of us do not realize the influence of American culture on our daily lives until we are placed in a culture that operates differently. When I volunteered and lived in South America for a year, I found that one of the most common phrases I used when talking to my local friends in the first few months was ""In mi cultura..."" and then I would explain what was causing me culture stress. Without realizing it, I was trying to operate off of American culture norms and I expected my Colombian friends to do the same. By explaining ""in my culture, we do ______"", I expected them to understand why the way that we did things was normal. Eventually, I began to see that their eyes would glaze over and that I wasn't going to change the way they managed their time or approached higher education. They had other priorities and I eventually saw the difference in culture as a beautiful thing! I like the term, ""culture stress"" because I think that this captures living in a foreign culture much better than culture shock. There are some things from your home culture that you never let go of (i.e. reading textbooks, U3!) and there are some things that you adapt to. Trying to overcome the standard operating procedure you have grown up with to fit in with the norms around you is stressful! The important part is to go in with an open mind. Know where you are coming from and respect where someone else is at. It took me almost the full year to realize this but I feel thankful for the opportunity to see that the American Way is not the only way to live life! 
U5 ",1,1,1,0,0,12,3,4,1,0,53,4,0.054794521
U4,"U5, thanks for sharing such a great experience with us. I personally have never ventured outside of the United States. Not for lack of desire, more lack of opportunity than anything. I find other cultures fascinating and always wonder what must other countries think of Americans? Did you find that South American culture was less driven? What I mean by that is it seems like we as Americans are always expecting more from ourselves and each other where in other countries, my assumption is there may be ambition but it's acceptable to not be as worried about drive and there are different goals that motivate the culture. Is that correct? I'm curious what you thought were similarities and differences between American and South American culture?
U4",2,4,0,0,0,9,5,5,2,0,35,5,0.068493151
U6,"Hi U4,
I was the eldest in my family and feel like my parents, as well as other family members, expected a lot out of me because I was the oldest of five. I had more rules, discipline, and responsibility to be a good example for the others and all of my mistakes were broadcasted throughout my family to make sure I did not make them again. I think it is interesting that my parents thought I should be perfect, but were much less strict with the younger children. I always felt that they must have seen or realized the pressure was just too much to put on me, so they were lenient with the others. I never thought about how it would be for the youngest child in a family. My baby sister was, and remains, the free spirit in the family who has not quite figured it all out yet, but I wonder if she felt pressure as a child to be perfect or not do all the dumb things we did.
Thanks for sharing!",1,1,0,2,0,12,5,5,1,1,42,6,0.082191781
U7,"Culture is a constantly evolving and live concept. I agree with many of the definitions in the powerpoint presentation. I especially like the adaptation from Gary Alan Fine, which states that it is “shared by members of an interacting group”. I believe an established or inherited culture remains active and passed on because it is practiced, cherished and built upon by each individual. Harris & DeSimone called it a “set of shared values, beliefs, norms, and artifacts” and Matsumoto also referred to culture as a “set of attitudes”. I think they are both right. I personally share a different set of attitudes as work then I do at home or church. The values and beliefs remain the same for me, but they are practiced very differently in each culture in which I participate. I appreciate that artifacts were also mentioned because I do believe some cultures are derived from this concept. For example, my beliefs and values are derived from the lessons of the bible, though I believe it to be a telling of true events, it is still considered an artifact of my faith and my culture of living. Similar artifacts of culture could be cellphones and the culture they have created for social media or perhaps how coffee or wine and the different culture settings they create. A person can participate in many different cultures, while still maintaining a consistent set of attitudes of their own culture. Culture itself is complex and impossible to define.",4,2,0,0,0,22,3,6,1,1,37,7,0.095890411
U3,"Hi U7,
I absolutely agree with you that ""culture is a constantly evolving and living concept"". This really made me rethink about the definition of culture vs. ""my culture"". Are we talking about cultures based on what we grew up with, or what we became later on? I know that there are certainly links between these two, but as I grew up and started experiencing different aspects of life and the world, I have definitely developed a culture that belongs to me and no others. I think I will elaborate on this point further in my post below (not in the replies, but in my own writings at the end).
U3",1,0,2,1,0,10,3,5,1,0,29,8,0.109589041
U6,"Hi U3, 
I agree with your comment regarding the ""definition of culture vs. ""my culture"""" and feel as though we all have the culture we grew up in, but it flows, changes, and modifies to fit our individual world. I was talking with a good friend about how my beliefs and the way I see the world changes based on the experiences, people, places and even classes I have taken. I also feel as though I have my own unique culture. ",1,1,0,0,0,9,2,2,0,1,19,9,0.123287671
